code,name,energy_kcal,protein_g,fat_g,carb_g,fiber_g,calcium_mg,iron_mg,sodium_mg,bdd_pct,state,group,cuisine,portion_g_cooked,aliases,note
idn-kue-jalabia,Kue Jalabia,393.0,2.5,15.0,62.0,1.5,30,1.2,70,100,Olahan,Jajanan & Gorengan,,50,Jalabia Kue Ali Kue Cincin Betawi,Fried Palm Sugar Ring Cake · Jalabia Kue Ali Kue Cincin Betawi · 2 buah · DKI Jakarta/Kue Basah · src:Recipe calc · conf:medium
idn-perkedel-nike,Perkedel Nike,235.0,13.0,15.0,11.5,0.8,180,2.0,480,100,Olahan,Jajanan & Gorengan,,50,Bakwan Nike Perkedel Ikan Nike,Nike Whitebait Fritters · Bakwan Nike Perkedel Ikan Nike · 1 buah · Gorontalo/Gorengan · src:Recipe calc · conf:medium
idn-bakso-aci,Bakso Aci,152.0,3.5,4.0,25.0,0.6,22,0.7,580,100,Olahan,Jajanan & Gorengan,,300,Bakso Aci Garut Baso Aci,Tapioca Ball Soup With Chilli Broth · Bakso Aci Garut Baso Aci · 1 mangkok · Jawa Barat/Bakso · src:Recipe calc · conf:medium
idn-bala-bala,Bala-Bala,268.0,4.5,15.0,29.0,1.8,40,1.0,380,100,Olahan,Jajanan & Gorengan,,50,Bakwan Sayur Sunda Bala Bala,Sundanese Vegetable Fritter · Bakwan Sayur Sunda Bala Bala · 1 buah · Jawa Barat/Gorengan · src:Recipe calc · conf:high
idn-baso-tahu-kuah,Baso Tahu Kuah,128.0,8.0,5.5,11.5,1.0,70,1.1,520,100,Olahan,Jajanan & Gorengan,,250,Bakso Tahu Kuah Baso Tahu Bandung,Steamed Stuffed Tofu In Clear Broth · Bakso Tahu Kuah Baso Tahu Bandung · 1 mangkok · Jawa Barat/Tahu & Tempe · src:Recipe calc · conf:medium
idn-basreng,Basreng,452.0,9.0,26.0,45.0,1.0,30,1.0,780,100,Olahan,Jajanan & Gorengan,,30,Bakso Goreng Kering Basreng Pedas,Fried Seasoned Fish Cake Chips · Bakso Goreng Kering Basreng Pedas · 1 bungkus kecil · Jawa Barat/Kacang & Camilan · src:Recipe calc · conf:medium
idn-cilok-goreng,Cilok Goreng,290.0,4.0,14.0,36.0,0.8,25,0.7,500,100,Olahan,Jajanan & Gorengan,,80,Cilok Crispy Cilok Digoreng,Fried Tapioca Balls · Cilok Crispy Cilok Digoreng · 1 porsi · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-cilor,Cilor,298.0,7.5,15.0,33.0,0.7,35,1.2,480,100,Olahan,Jajanan & Gorengan,,80,Cilok Telor Cilor Bandung,Tapioca Balls Coated In Egg · Cilok Telor Cilor Bandung · 1 tusuk · Jawa Barat/Jajanan · src:Recipe calc · conf:medium
idn-cilung,Cilung,265.0,5.0,12.0,33.0,0.6,25,0.9,480,100,Olahan,Jajanan & Gorengan,,70,Aci Digulung Cilok Gulung,Rolled Tapioca Batter Snack · Aci Digulung Cilok Gulung · 1 tusuk · Jawa Barat/Jajanan · src:Recipe calc · conf:medium
idn-cimol,Cimol,335.0,3.0,17.0,42.0,0.7,20,0.6,420,100,Olahan,Jajanan & Gorengan,,60,Aci Digemol Cimol Bandung,Fried Tapioca Balls · Aci Digemol Cimol Bandung · 1 porsi · Jawa Barat/Gorengan · src:Recipe calc · conf:high
idn-cimol-bojot,Cimol Bojot,320.0,4.5,16.0,39.0,0.8,25,0.8,620,100,Olahan,Jajanan & Gorengan,,100,Cimol Basah Bumbu Cimol Bojot Bandung,Saucy Seasoned Fried Tapioca Balls · Cimol Basah Bumbu Cimol Bojot Bandung · 1 porsi · Jawa Barat/Jajanan · src:Recipe calc · conf:medium
idn-cireng-bumbu-rujak,Cireng Bumbu Rujak,322.0,2.5,15.0,43.5,1.0,22,0.7,480,100,Olahan,Jajanan & Gorengan,,60,Cireng Bumbu Cireng Rujak,Fried Tapioca Fritter With Spicy Rujak Sauce · Cireng Bumbu Cireng Rujak · 3 buah + bumbu · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-cireng-isi,Cireng Isi,330.0,4.5,17.0,39.0,0.8,25,0.8,470,100,Olahan,Jajanan & Gorengan,,60,Cireng Crispy Isi Cireng Isi Ayam,Stuffed Fried Tapioca Fritter · Cireng Crispy Isi Cireng Isi Ayam · 2 buah · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-cireng-salju,Cireng Salju,355.0,3.0,19.0,42.0,0.7,20,0.6,400,100,Olahan,Jajanan & Gorengan,,50,Cireng Crispy Salju Cireng Kriuk,Snow Crisp Fried Tapioca Fritter · Cireng Crispy Salju Cireng Kriuk · 1 porsi · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-combro,Combro,285.0,4.5,14.0,35.0,2.5,45,1.2,360,100,Olahan,Jajanan & Gorengan,,55,Comro Oncom Dijero,Fried Cassava Ball With Oncom Filling · Comro Oncom Dijero · 1 buah · Jawa Barat/Gorengan · src:Recipe calc · conf:high
idn-gehu-pedas,Gehu Pedas,268.0,8.5,16.0,22.0,2.0,90,1.6,420,100,Olahan,Jajanan & Gorengan,,60,Gehu Jeletot Tahu Isi Pedas,Spicy Stuffed Fried Tofu · Gehu Jeletot Tahu Isi Pedas · 1 buah · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-keripik-talas-bogor,Keripik Talas Bogor,490.0,3.0,25.0,63.0,4.0,40,1.2,380,100,Olahan,Jajanan & Gorengan,,30,Keripik Talas Gurih Kripik Talas,Bogor Taro Chips · Keripik Talas Gurih Kripik Talas · 1 genggam · Jawa Barat/Keripik & Kerupuk · src:Recipe calc · conf:medium
idn-kerupuk-melarat,Kerupuk Melarat,370.0,3.0,3.0,82.0,1.0,15,0.6,700,100,Olahan,Jajanan & Gorengan,,25,Kerupuk Mares Kerupuk Pasir Cirebon Krupuk Melarat,Sand Fried Coloured Cracker · Kerupuk Mares Kerupuk Pasir Cirebon Krupuk Melarat · 1 genggam · Jawa Barat/Keripik & Kerupuk · src:Recipe calc · conf:medium
idn-kerupuk-mie,Kerupuk Mie,490.0,4.0,24.0,64.0,0.8,20,0.8,850,100,Olahan,Jajanan & Gorengan,,20,Kerupuk Mie Kuning Krupuk Mie,Fried Yellow Noodle Cracker · Kerupuk Mie Kuning Krupuk Mie · 1 genggam · Jawa Barat/Mie & Bihun · src:Recipe calc · conf:medium
idn-kue-gapit,Kue Gapit,437.0,4.5,15.0,71.0,1.2,30,1.1,110,100,Olahan,Jajanan & Gorengan,,30,Kue Gapit Cirebon Simping Gapit,Pressed Crisp Coconut Waffle Cookie · Kue Gapit Cirebon Simping Gapit · 4 buah · Jawa Barat/Kue Kering · src:Recipe calc · conf:medium
idn-kue-semprong,Kue Semprong,456.0,5.0,18.0,68.0,1.2,30,1.2,100,100,Olahan,Jajanan & Gorengan,,30,Kue Sapit Semprong Opak Gulung Semprong,Rolled Crisp Coconut Wafer · Kue Sapit Semprong Opak Gulung Semprong · 4 buah · Jawa Barat/Kue Kering · src:Recipe calc · conf:high
idn-makaroni-pedas,Makaroni Pedas,480.0,8.0,24.0,57.0,2.0,25,1.5,850,100,Olahan,Jajanan & Gorengan,,30,Makaroni Goreng Makaroni Kering Pedas,Spicy Fried Macaroni Snack · Makaroni Goreng Makaroni Kering Pedas · 1 bungkus kecil · Jawa Barat/Kacang & Camilan · src:Recipe calc · conf:medium
idn-misro,Misro,305.0,2.0,13.5,43.0,2.2,35,1.0,60,100,Olahan,Jajanan & Gorengan,,55,Amis Dijero Misro Sunda,Fried Cassava Ball With Palm Sugar · Amis Dijero Misro Sunda · 1 buah · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-odading,Odading,360.0,7.0,17.0,45.0,1.4,40,1.6,300,100,Olahan,Jajanan & Gorengan,,60,Odading Bandung Roti Goreng Odading,Sweet Fried Dough Pillow · Odading Bandung Roti Goreng Odading · 1 buah · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-opak-singkong,Opak Singkong,400.0,2.0,8.0,79.0,2.0,25,0.8,500,100,Olahan,Jajanan & Gorengan,,20,Opak Opak Ketela Opak Singkong Bakar,Cassava Flat Cracker · Opak Opak Ketela Opak Singkong Bakar · 3 buah · Jawa Barat/Keripik & Kerupuk · src:Recipe calc · conf:medium
idn-pisang-goreng-madu,Pisang Goreng Madu,300.0,2.5,12.0,46.0,2.2,20,0.8,90,100,Olahan,Jajanan & Gorengan,,70,Pisang Goreng Madu Bandung Pisang Madu,Honey Glazed Fried Banana · Pisang Goreng Madu Bandung Pisang Madu · 1 porsi · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-pisang-molen,Pisang Molen,321.0,4.0,13.0,47.0,1.8,20,0.8,130,100,Olahan,Jajanan & Gorengan,,70,Molen Pisang Pisang Molen Bandung,Fried Banana In Pastry Coil · Molen Pisang Pisang Molen Bandung · 2 buah · Jawa Barat/Roti & Pastry · src:Recipe calc · conf:high
idn-rengginang,Rengginang,420.0,6.0,12.0,71.0,1.5,20,1.0,550,100,Olahan,Jajanan & Gorengan,,25,Intip Ketan Ranginang Rengginang Terasi,Fried Glutinous Rice Cracker · Intip Ketan Ranginang Rengginang Terasi · 3 buah · Jawa Barat/Keripik & Kerupuk · src:Recipe calc · conf:high
idn-seblak-basah,Seblak Basah,165.0,4.0,8.0,19.5,0.8,25,0.8,620,100,Olahan,Jajanan & Gorengan,,250,Seblak Bandung Seblak Kerupuk,Wet Spicy Cracker Stir-Fry · Seblak Bandung Seblak Kerupuk · 1 porsi · Jawa Barat/Jajanan · src:Recipe calc · conf:high
idn-seblak-ceker,Seblak Ceker,178.0,7.5,10.0,14.5,0.7,40,0.9,650,100,Olahan,Jajanan & Gorengan,,300,Seblak Ceker Ayam Seblak Ceker Bandung,Spicy Cracker Stir-Fry With Chicken Feet · Seblak Ceker Ayam Seblak Ceker Bandung · 1 porsi · Jawa Barat/Jajanan · src:Recipe calc · conf:medium
idn-seblak-kering,Seblak Kering,470.0,5.5,24.0,57.0,1.2,25,1.0,900,100,Olahan,Jajanan & Gorengan,,30,Kerupuk Seblak Kering Seblak Kering Pedas,Dry Spicy Fried Cracker Snack · Kerupuk Seblak Kering Seblak Kering Pedas · 1 bungkus kecil · Jawa Barat/Kacang & Camilan · src:Recipe calc · conf:medium
idn-seblak-makaroni,Seblak Makaroni,188.0,4.5,8.5,24.0,1.0,20,0.9,640,100,Olahan,Jajanan & Gorengan,,250,Seblak Makaroni Bandung Seblak Mercon Makaroni,Spicy Macaroni Seblak · Seblak Makaroni Bandung Seblak Mercon Makaroni · 1 porsi · Jawa Barat/Jajanan · src:Recipe calc · conf:medium
idn-singkong-keju,Singkong Keju,300.0,4.0,15.0,38.0,1.8,90,0.7,380,100,Olahan,Jajanan & Gorengan,,80,Singkong Keju Goreng Singkong Thailand,Fried Cassava With Cheese · Singkong Keju Goreng Singkong Thailand · 1 porsi · Jawa Barat/Gorengan · src:Recipe calc · conf:medium
idn-tahu-bulat,Tahu Bulat,245.0,11.0,17.0,11.0,0.8,180,2.2,520,100,Olahan,Jajanan & Gorengan,,40,Tahu Bulat Bumbu Tahu Bulat Digoreng Dadakan,Puffed Round Fried Tofu · Tahu Bulat Bumbu Tahu Bulat Digoreng Dadakan · 5 buah · Jawa Barat/Tahu & Tempe · src:Recipe calc · conf:high
idn-tahu-gejrot,Tahu Gejrot,92.0,4.5,3.5,10.5,0.6,90,1.0,480,100,Olahan,Jajanan & Gorengan,,120,Tahu Gejrot Cirebon Tahu Kecap Gejrot,Cirebon Tofu In Sweet Vinegar Chilli Sauce · Tahu Gejrot Cirebon Tahu Kecap Gejrot · 1 porsi · Jawa Barat/Tahu & Tempe · src:Recipe calc · conf:high
idn-tahu-sumedang,Tahu Sumedang,218.0,13.5,15.0,7.0,1.2,180,2.4,240,100,Olahan,Jajanan & Gorengan,,60,Tahu Bungkeng Tahu Sumedang Goreng,Sumedang Puffed Fried Tofu · Tahu Bungkeng Tahu Sumedang Goreng · 5 buah · Jawa Barat/Tahu & Tempe · src:Recipe calc · conf:high
idn-ubi-cilembu-bakar,Ubi Cilembu Bakar,155.0,1.8,0.4,36.0,3.0,30,0.7,30,100,Olahan,Jajanan & Gorengan,,120,Ubi Cilembu Panggang Ubi Madu Cilembu,Baked Cilembu Sweet Potato · Ubi Cilembu Panggang Ubi Madu Cilembu · 1 buah · Jawa Barat/Serealia & Umbi · src:Recipe calc · conf:high
idn-bolang-baling,Bolang-Baling,350.0,7.0,16.0,45.0,1.4,38,1.5,290,100,Olahan,Jajanan & Gorengan,,60,Bolang Baling Semarang Galundeng Kue Bantal,Sweet Fried Dough Cushion · Bolang Baling Semarang Galundeng Kue Bantal · 1 buah · Jawa Tengah/Gorengan · src:Recipe calc · conf:medium
idn-keripik-paru,Keripik Paru,520.0,26.0,34.0,28.0,0.8,40,6.0,750,100,Olahan,Jajanan & Gorengan,,25,Keripik Paru Sapi Kripik Paru,Crispy Fried Beef Lung · Keripik Paru Sapi Kripik Paru · 1 genggam · Jawa Tengah/Keripik & Kerupuk · src:Recipe calc · conf:medium
idn-kerupuk-rambak-kerbau,Kerupuk Rambak Kerbau,470.0,32.0,33.0,8.0,0.2,60,2.0,1000,100,Olahan,Jajanan & Gorengan,,20,Kerupuk Kulit Kerbau Krecek Rambak Rambak Kerbau,Puffed Buffalo Skin Cracker · Kerupuk Kulit Kerbau Krecek Rambak Rambak Kerbau · 1 genggam · Jawa Tengah/Keripik & Kerupuk · src:Recipe calc · conf:medium
idn-kue-keciput,Kue Keciput,422.0,5.0,18.0,60.0,1.8,90,2.0,80,100,Olahan,Jajanan & Gorengan,,40,Keciput Wijen Kue Ciput,Crunchy Sesame-Coated Fried Glutinous Balls · Keciput Wijen Kue Ciput · 10 buah · Jawa Tengah/Kue Basah · src:Recipe calc · conf:medium
idn-kue-leker,Kue Leker,375.0,6.0,17.0,49.0,1.0,70,1.2,220,100,Olahan,Jajanan & Gorengan,,40,Kue Leker Solo Leker Leker Coklat Pisang,Thin Crispy Street Crepe · Kue Leker Solo Leker Leker Coklat Pisang · 1 buah · Jawa Tengah/Jajanan · src:Recipe calc · conf:medium
idn-kue-sagon,Kue Sagon,420.0,3.5,22.0,52.0,5.0,25,1.0,60,100,Olahan,Jajanan & Gorengan,,30,Kue Sagon Bakar Sagon Kelapa,Toasted Coconut & Sago Cake · Kue Sagon Bakar Sagon Kelapa · 2 buah · Jawa Tengah/Kue Basah · src:Recipe calc · conf:medium
idn-lumpia-basah-semarang,Lumpia Basah Semarang,195.0,8.0,8.0,22.0,1.5,35,1.0,500,100,Olahan,Jajanan & Gorengan,,80,Loenpia Basah Lumpia Semarang Tidak Digoreng,Fresh Semarang Spring Roll · Loenpia Basah Lumpia Semarang Tidak Digoreng · 1 buah · Jawa Tengah/Roti & Pastry · src:Recipe calc · conf:medium
idn-lumpia-rebung,Lumpia Rebung,285.0,7.0,16.0,28.0,2.2,35,1.1,480,100,Olahan,Jajanan & Gorengan,,70,Lumpia Isi Rebung Lumpia Rebung Goreng,Bamboo Shoot Spring Roll · Lumpia Isi Rebung Lumpia Rebung Goreng · 1 buah · Jawa Tengah/Roti & Pastry · src:Recipe calc · conf:medium
idn-lumpia-semarang-goreng,Lumpia Semarang Goreng,300.0,9.0,17.0,27.0,1.5,40,1.2,520,100,Olahan,Jajanan & Gorengan,,70,Loenpia Semarang Lumpia Goreng Rebung Udang,Fried Semarang Spring Roll · Loenpia Semarang Lumpia Goreng Rebung Udang · 1 buah · Jawa Tengah/Roti & Pastry · src:Recipe calc · conf:high
idn-marning-jagung,Marning Jagung,465.0,8.0,20.0,62.0,5.0,15,1.5,480,100,Olahan,Jajanan & Gorengan,,30,Jagung Marning Goreng Marning,Fried Corn Kernel Snack · Jagung Marning Goreng Marning · 1 genggam · Jawa Tengah/Kacang & Camilan · src:Recipe calc · conf:medium
idn-rempeyek-kacang,Rempeyek Kacang,510.0,13.0,30.0,46.0,3.5,90,2.5,480,100,Olahan,Jajanan & Gorengan,,25,Peyek Kacang Rempeyek Kacang Tanah,Peanut Rice Flour Cracker · Peyek Kacang Rempeyek Kacang Tanah · 3 buah · Jawa Tengah/Keripik & Kerupuk · src:Recipe calc · conf:high
