code,name,water_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitc_mg,bdd_pct,state,group,portion_g_cooked,note
kb-bolo-bun,Bolo Bun / Roti Nanas Polos,,350,7.0,13.0,51.0,1.5,,45,80,1.8,300,105,,0.6,,,,,,,0.0,100,Olahan,Kue/Dessert,85,"Pineapple Bun (plain) · 1 bun · conf:high · per100: gula 16.0g, lemak jenuh 7.0g, kolesterol 45mg, Mg 14mg"
kb-bolo-bun-butter,Bolo Bun Butter (菠蘿油),,405,6.5,22.0,46.0,1.3,,48,78,1.6,340,100,,0.6,,,,,,,0.0,100,Olahan,Kue/Dessert,100,"Pineapple Bun with Butter Slab · 1 bun + slab butter 15g · conf:high · per100: gula 14.5g, lemak jenuh 13.0g, kolesterol 78mg, Mg 13mg"
kb-bolo-bun-srikaya,Bolo Bun Srikaya,,360,6.5,12.5,55.0,1.4,,46,78,1.6,300,110,,0.6,,,,,,,0.0,100,Olahan,Kue/Dessert,100,"Kaya-Filled Pineapple Bun · 1 bun isi srikaya · conf:med · per100: gula 22.0g, lemak jenuh 7.2g, kolesterol 52mg, Mg 14mg"
kb-custard-bun,Roti Custard / Nai Wong Bao,,295,7.0,9.0,46.0,1.0,,55,90,1.3,220,95,,0.6,,,,,,,0.0,100,Olahan,Kue/Dessert,80,"Steamed Custard Bun · 1 bun · conf:high · per100: gula 14.0g, lemak jenuh 4.5g, kolesterol 60mg, Mg 12mg"
kb-pau-kacang-merah,Pau Kacang Merah,,255,6.5,3.5,49.0,2.8,,40,85,1.8,180,150,,0.7,,,,,,,0.0,100,Olahan,Kue/Dessert,80,"Red Bean Pau · 1 pau · conf:high · per100: gula 14.0g, lemak jenuh 1.2g, kolesterol 0mg, Mg 25mg"
kb-pau-charsiu,Pau Char Siu (babi merah),,265,9.5,8.0,39.0,1.3,,35,95,1.5,420,130,,0.9,,,,,,,0.0,100,Olahan,Kue/Dessert,90,"Char Siu Pau · 1 pau · conf:high · per100: gula 9.0g, lemak jenuh 3.0g, kolesterol 22mg, Mg 15mg"
kb-pau-babi-besar,Pau Besar Isi Babi,,250,10.0,9.5,32.0,1.4,,30,100,1.6,450,150,,1.1,,,,,,,0.0,100,Olahan,Kue/Dessert,130,"Big Pork Pau · 1 pau besar · conf:med · per100: gula 6.0g, lemak jenuh 3.5g, kolesterol 35mg, Mg 16mg"
kb-mantou-goreng,Mantou Goreng Susu,,370,6.5,14.0,55.0,1.2,,60,80,1.4,280,110,,0.5,,,,,,,0.0,100,Olahan,Kue/Dessert,90,"Fried Mantou w/ Condensed Milk · 3 pcs + susu kental manis · conf:med · per100: gula 18.0g, lemak jenuh 5.5g, kolesterol 8mg, Mg 14mg"
kd-kopi-o,Kopi O (gula),,30,0.2,0,7.6,0,,4,4,0.05,4,45,,0.02,,,,,,,0.0,100,Olahan,Minuman,200,"Black Coffee w/ Sugar · 1 cangkir 200ml · conf:high · Semua gula = added sugar (~15g/cangkir). · per100: gula 7.5g, lemak jenuh 0g, kolesterol 0mg, Mg 4mg"
kd-kopi-susu,Kopi Susu (kental manis),,58,1.3,1.4,10.5,0,,45,38,0.06,22,75,,0.15,,,,,,,0.0,100,Olahan,Minuman,200,"Kopi w/ Condensed Milk · 1 cangkir 200ml · conf:high · per100: gula 10.2g, lemak jenuh 0.9g, kolesterol 5mg, Mg 8mg"
kd-kopi-c,Kopi C (evaporated + gula),,45,1.5,1.5,6.8,0,,52,42,0.05,24,80,,0.16,,,,,,,0.0,100,Olahan,Minuman,200,"Kopi C · 1 cangkir 200ml · conf:high · per100: gula 6.5g, lemak jenuh 0.9g, kolesterol 6mg, Mg 8mg"
kd-teh-tarik,Teh Tarik,,68,1.6,2.4,10.5,0,,55,45,0.05,28,70,,0.18,,,,,,,0.0,100,Olahan,Minuman,240,"Pulled Milk Tea · 1 gelas 240ml · conf:high · per100: gula 10.0g, lemak jenuh 1.5g, kolesterol 8mg, Mg 8mg"
kd-milo,Milo Panas,,72,1.8,1.8,12.5,0.4,,95,65,1.4,45,120,,0.3,,,,,,,0.0,100,Olahan,Minuman,240,"Hot Milo · 1 gelas 240ml · conf:high · Fe & Ca fortifikasi — lumayan buat tracking Fe. · per100: gula 9.5g, lemak jenuh 1.1g, kolesterol 5mg, Mg 18mg"
kd-es-kopi-gula-aren,Es Kopi Susu Gula Aren,,78,1.5,2.6,12.5,0,,55,45,0.15,30,90,,0.15,,,,,,,0.0,100,Olahan,Minuman,250,"Iced Palm Sugar Latte · 1 cup 250ml · conf:med · per100: gula 11.5g, lemak jenuh 1.7g, kolesterol 9mg, Mg 9mg"
bp-bpk,Babi Panggang Karo (BPK),,292,24.5,20.5,1.5,0,,18,210,1.2,460,340,,3.4,,,,,,,1,100,Olahan,Masakan Nusantara,150,"Karo Grilled Pork · 1 porsi daging (~150g) · conf:med · Campuran shoulder/samcan panggang, bumbu jeruk-bawang. Belum termasuk saus gota & daun ubi. · per100: gula 0.5g, lemak jenuh 7.4g, kolesterol 88mg, Mg 22mg"
bp-bpk-lean,BPK Bagian Lean (has/paha),,215,28.5,11.0,1.0,0,,15,235,1.1,440,380,,3.8,,,,,,,1,100,Olahan,Masakan Nusantara,150,"BPK Lean Cut · 1 porsi · conf:med · Pilihan recomp: minta bagian tanpa kulit/lemak. · per100: gula 0.3g, lemak jenuh 3.8g, kolesterol 82mg, Mg 26mg"
bp-saksang,Saksang (dengan gota/darah),,248,18.5,17.5,3.5,0.6,,30,195,6.5,520,320,,3.0,,,,,,,2,100,Olahan,Masakan Nusantara,150,"Saksang w/ Blood Sauce · 1 porsi · conf:med · Fe sangat tinggi karena darah (heme iron) + santan. Salah satu sumber zat besi terbaik di library ini. · per100: gula 1.0g, lemak jenuh 7.8g, kolesterol 105mg, Mg 24mg"
bp-saksang-tanpa-gota,Saksang Tanpa Gota,,255,19.0,18.5,3.0,0.6,,25,190,1.4,500,315,,3.0,,,,,,,2,100,Olahan,Masakan Nusantara,150,"Saksang (no blood) · 1 porsi · conf:med · per100: gula 1.0g, lemak jenuh 8.2g, kolesterol 90mg, Mg 23mg"
bp-sio-bak,Sio Bak / Samcan Panggang Crispy,,480,13.5,46.0,0.5,0,,10,135,0.8,720,220,,1.9,,,,,,,0.0,100,Olahan,Masakan Nusantara,120,"Crispy Roast Pork Belly · 1 porsi · conf:high · Densitas kalori tertinggi. Kulit + lemak = sebagian besar kalorinya. · per100: gula 0g, lemak jenuh 16.8g, kolesterol 80mg, Mg 14mg"
bp-char-siu,Char Siu / Babi Panggang Merah,,252,20.5,14.5,9.5,0.2,,14,185,1.0,650,300,,2.6,,,,,,,0.0,100,Olahan,Masakan Nusantara,120,"Char Siu (BBQ Pork) · 1 porsi · conf:high · Gula dari glaze madu/maltose — hitung sebagai added sugar. · per100: gula 8.5g, lemak jenuh 5.2g, kolesterol 70mg, Mg 20mg"
bp-babi-guling,Babi Guling (daging + kulit),,295,22.0,22.0,1.5,0.2,,18,200,1.3,510,320,,3.2,,,,,,,1,100,Olahan,Masakan Nusantara,150,"Balinese Roast Suckling Pig · 1 porsi campur · conf:med · per100: gula 0.4g, lemak jenuh 8.0g, kolesterol 90mg, Mg 21mg"
bp-babi-kecap,Babi Kecap,,232,16.5,15.0,8.0,0.3,,16,175,1.4,780,300,,2.5,,,,,,,0.0,100,Olahan,Masakan Nusantara,150,"Pork in Sweet Soy · 1 porsi · conf:med · Sodium tinggi (kecap manis+asin). Sugar dari kecap manis = added. · per100: gula 6.5g, lemak jenuh 5.6g, kolesterol 70mg, Mg 22mg"
bp-sate-babi,Sate Babi (bumbu manis),,285,22.5,18.0,6.0,0.3,,18,205,1.3,560,320,,2.9,,,,,,,0.0,100,Olahan,Masakan Nusantara,100,"Pork Satay · 5 tusuk (~100g daging) · conf:med · Belum termasuk saus kacang — pakai item dressing 'Bumbu Kacang'. · per100: gula 5.0g, lemak jenuh 6.5g, kolesterol 78mg, Mg 24mg"
bp-sekba,Sekba / Bektim (jeroan babi),,148,13.0,8.5,4.5,0.2,,15,160,3.2,620,210,,2.4,,,,,,,0.0,100,Olahan,Masakan Nusantara,250,"Pork Offal Herbal Stew · 1 mangkok · conf:med · Jeroan: Fe, B12, kolesterol semuanya tinggi. · per100: gula 2.5g, lemak jenuh 3.0g, kolesterol 185mg, Mg 14mg"
bp-babi-rica,Babi Rica-Rica,,262,19.5,19.0,3.5,0.8,,22,195,1.6,540,350,,2.8,,,,,,,12,100,Olahan,Masakan Nusantara,150,"Manado Spicy Pork · 1 porsi · conf:med · per100: gula 1.5g, lemak jenuh 7.0g, kolesterol 82mg, Mg 25mg"
bp-daun-ubi-tumbuk,Daun Ubi Tumbuk (santan),,95,4.2,6.2,7.5,3.8,,165,62,2.6,280,380,,0.5,,,,,,,28,100,Olahan,Masakan Nusantara,100,"Pounded Cassava Leaves · 1 porsi pendamping · conf:high · Pendamping wajib BPK. Ca, Fe, fiber, vit C bagus — penyeimbang porsi babi. · per100: gula 1.5g, lemak jenuh 4.6g, kolesterol 0mg, Mg 48mg"
bp-saus-gota,Saus Gota (darah babi),,110,14.0,5.0,2.5,0.2,,12,120,18.0,480,190,,1.5,,,,,,,0.0,100,Olahan,Masakan Nusantara,30,"Karo Blood Sauce · 1 sendok sayur kecil · conf:low · Fe ekstrem tinggi (darah). Estimasi kasar — variasi antar lapo besar. · per100: gula 0.5g, lemak jenuh 2.0g, kolesterol 120mg, Mg 10mg"
bp-nasi-putih,Nasi Putih,,130,2.4,0.2,28.2,0.4,,10,43,0.2,1,35,,0.5,,,,,,,0.0,100,Olahan,Masakan Nusantara,150,"Steamed White Rice · 1 centong besar / porsi lapo · conf:high · per100: gula 0.1g, lemak jenuh 0.1g, kolesterol 0mg, Mg 12mg"
sl-caesar-ayam,Caesar Salad + Ayam Grilled,,155,11.0,10.5,4.5,1.4,,85,130,0.9,385,210,,0.9,,,,,,,8,100,Olahan,Sayur,300,"Chicken Caesar Salad · 1 porsi main · conf:high · per100: gula 1.8g, lemak jenuh 2.8g, kolesterol 38mg, Mg 16mg"
sl-garden,Garden Salad (tanpa dressing),,22,1.2,0.2,4.3,1.6,,28,28,0.6,18,210,,0.25,,,,,,,15,100,Olahan,Sayur,200,"Garden Salad (no dressing) · 1 mangkok · conf:high · Base netral — tambah dressing dari kategori dressing. · per100: gula 2.4g, lemak jenuh 0g, kolesterol 0mg, Mg 12mg"
sl-greek,Greek Salad (feta + olive),,105,3.5,8.5,4.8,1.5,,85,75,0.7,380,190,,0.5,,,,,,,14,100,Olahan,Sayur,250,"Greek Salad · 1 porsi · conf:high · per100: gula 3.0g, lemak jenuh 2.9g, kolesterol 12mg, Mg 14mg"
sl-caprese,Caprese (mozzarella-tomat),,165,9.0,12.5,4.0,1.0,,220,160,0.5,220,180,,1.2,,,,,,,12,100,Olahan,Sayur,200,"Caprese Salad · 1 porsi · conf:high · per100: gula 2.8g, lemak jenuh 5.5g, kolesterol 30mg, Mg 18mg"
sl-coleslaw,Coleslaw (mayo),,152,1.2,12.5,9.5,1.8,,38,28,0.4,260,160,,0.2,,,,,,,22,100,Olahan,Sayur,100,"Coleslaw · 1 porsi side · conf:high · per100: gula 7.5g, lemak jenuh 1.9g, kolesterol 8mg, Mg 9mg"
sl-tuna-salad,Tuna Salad (mayo),,187,16.0,12.0,3.5,0.5,,18,165,1.0,410,190,,0.6,,,,,,,1,100,Olahan,Sayur,150,"Tuna Salad · 1 porsi · conf:high · per100: gula 1.5g, lemak jenuh 1.9g, kolesterol 28mg, Mg 20mg"
sl-gado-gado,Gado-Gado (dengan bumbu kacang),,142,6.2,8.0,12.0,3.0,,75,110,1.8,355,300,,0.9,,,,,,,12,100,Olahan,Sayur,300,"Gado-Gado · 1 porsi lengkap + lontong sedikit · conf:high · per100: gula 4.8g, lemak jenuh 2.4g, kolesterol 45mg, Mg 42mg"
sl-pecel,Pecel Sayur,,128,5.8,7.0,11.5,3.4,,90,105,2.0,340,320,,0.8,,,,,,,18,100,Olahan,Sayur,250,"Pecel (Javanese Veg Salad) · 1 porsi tanpa nasi · conf:high · per100: gula 4.5g, lemak jenuh 1.8g, kolesterol 0mg, Mg 46mg"
sl-karedok,Karedok (sayur mentah + kacang),,118,5.0,6.5,11.0,3.2,,80,100,1.7,320,340,,0.8,,,,,,,30,100,Olahan,Sayur,250,"Karedok · 1 porsi · conf:high · per100: gula 5.0g, lemak jenuh 1.6g, kolesterol 0mg, Mg 44mg"
dr-caesar,Dressing Caesar,,542,2.2,57.8,3.6,0.4,,42,55,0.4,1209,45,,0.3,,,,,,,0.0,100,Olahan,Bumbu,15,"Caesar Dressing · 1 sdm (15g) · conf:high · per100: gula 2.8g, lemak jenuh 8.9g, kolesterol 38mg, Mg 6mg"
dr-ranch,Dressing Ranch,,430,1.3,44.5,5.9,0.3,,28,50,0.25,901,68,,0.2,,,,,,,0.0,100,Olahan,Bumbu,15,"Ranch Dressing · 1 sdm (15g) · conf:high · per100: gula 4.6g, lemak jenuh 6.9g, kolesterol 26mg, Mg 4mg"
dr-thousand-island,Dressing Thousand Island,,379,1.1,35.1,15.4,0.6,,17,30,0.6,843,105,,0.2,,,,,,,0.0,100,Olahan,Bumbu,15,"Thousand Island · 1 sdm (15g) · conf:high · per100: gula 14.6g, lemak jenuh 5.0g, kolesterol 26mg, Mg 6mg"
dr-balsamic-vinaigrette,Balsamic Vinaigrette,,299,0.4,26.0,15.0,0.1,,12,12,0.3,640,50,,0.1,,,,,,,0.0,100,Olahan,Bumbu,15,"Balsamic Vinaigrette · 1 sdm (15g) · conf:high · per100: gula 12.5g, lemak jenuh 3.9g, kolesterol 0mg, Mg 4mg"
dr-italian,Dressing Italian,,240,0.5,21.0,12.3,0.4,,12,15,0.4,1447,75,,0.1,,,,,,,0.0,100,Olahan,Bumbu,15,"Italian Dressing · 1 sdm (15g) · conf:high · per100: gula 9.9g, lemak jenuh 3.3g, kolesterol 0mg, Mg 4mg"
dr-honey-mustard,Honey Mustard,,464,1.2,39.0,26.0,0.6,,18,35,0.4,512,55,,0.2,,,,,,,0.0,100,Olahan,Bumbu,15,"Honey Mustard Dressing · 1 sdm (15g) · conf:high · per100: gula 23.0g, lemak jenuh 5.5g, kolesterol 28mg, Mg 8mg"
dr-goma,Dressing Wijen (Goma),,470,5.5,44.0,12.0,1.5,,90,110,1.6,880,120,,0.9,,,,,,,0.0,100,Olahan,Bumbu,15,"Japanese Sesame Dressing · 1 sdm (15g) · conf:med · per100: gula 8.5g, lemak jenuh 6.2g, kolesterol 12mg, Mg 40mg"
dr-olive-lemon,Olive Oil + Lemon,,600,0.1,66.0,2.0,0.1,,4,2,0.2,200,25,,0,,,,,,,8,100,Olahan,Bumbu,15,"Olive Oil & Lemon Dressing · 1 sdm (15g) · conf:high · Paling clean untuk recomp: zero added sugar, sodium bisa dikontrol. · per100: gula 0.8g, lemak jenuh 9.2g, kolesterol 0mg, Mg 1mg"
dr-mayo,Mayones Full Fat,,680,1.0,74.8,0.6,0,,8,28,0.2,635,20,,0.15,,,,,,,0.0,100,Olahan,Bumbu,15,"Mayonnaise · 1 sdm (15g) · conf:high · per100: gula 0.5g, lemak jenuh 11.7g, kolesterol 42mg, Mg 1mg"
dr-blue-cheese,Dressing Blue Cheese,,484,1.4,51.1,4.8,0,,37,60,0.1,642,88,,0.2,,,,,,,0.0,100,Olahan,Bumbu,15,"Blue Cheese Dressing · 1 sdm (15g) · conf:high · per100: gula 3.9g, lemak jenuh 9.6g, kolesterol 30mg, Mg 5mg"
dr-yogurt,Dressing Yogurt (Greek),,125,5.5,8.0,8.0,0.1,,95,105,0.1,380,140,,0.4,,,,,,,0.0,100,Olahan,Bumbu,15,"Greek Yogurt Dressing · 1 sdm (15g) · conf:med · Alternatif rendah kalori pengganti ranch/caesar. · per100: gula 6.0g, lemak jenuh 3.5g, kolesterol 15mg, Mg 10mg"
dr-bumbu-kacang,Bumbu Kacang (gado-gado/sate),,352,11.5,25.0,21.0,3.2,,45,160,1.5,620,340,,1.4,,,,,,,0.0,100,Olahan,Bumbu,30,"Indonesian Peanut Sauce · 2 sdm (30g) · conf:high · Serving default 30g karena pemakaian real lebih banyak dari dressing barat. · per100: gula 12.5g, lemak jenuh 5.5g, kolesterol 0mg, Mg 68mg"
dr-sambal-andaliman,Sambal Andaliman/Tuktuk,,95,2.5,5.5,9.5,3.0,,30,55,1.4,850,280,,0.4,,,,,,,35,100,Olahan,Bumbu,15,"Andaliman Chili Relish · 1 sdm (15g) · conf:low · Pendamping BPK. Sodium tinggi tapi porsinya kecil. · per100: gula 3.0g, lemak jenuh 0.9g, kolesterol 0mg, Mg 22mg"
cn-nasi-hainam,Nasi Hainam,,160,3.0,3.5,29.0,0.4,,12,48,0.3,380,55,,0.6,,,,,,,0.0,100,Olahan,Masakan Nusantara,200,"Hainanese Rice · 1 porsi nasi · conf:high · per100: gula 0.2g, lemak jenuh 1.2g, kolesterol 4mg, Mg 13mg"
cn-ayam-hainan-rebus,Ayam Hainan Rebus (dgn kulit),,180,22.0,10.0,0.5,0,,12,180,0.9,350,250,,1.5,,,,,,,0.0,100,Olahan,Masakan Nusantara,120,"Poached Hainanese Chicken · 1 porsi potong · conf:high · per100: gula 0.2g, lemak jenuh 2.8g, kolesterol 75mg, Mg 22mg"
cn-nasi-ayam-hainan-set,Nasi Ayam Hainan (set + kuah),,170,10.0,7.0,18.0,0.3,,12,105,0.6,420,140,,1.0,,,,,,,0.0,100,Olahan,Masakan Nusantara,400,"Hainanese Chicken Rice Set · 1 set lengkap · conf:high · per100: gula 0.5g, lemak jenuh 2.0g, kolesterol 38mg, Mg 17mg"
cn-capcay-goreng,Cap Cay Goreng,,85,4.5,5.0,6.0,1.8,,45,70,1.0,480,220,,0.6,,,,,,,20,100,Olahan,Masakan Nusantara,300,"Stir-Fried Cap Cay · 1 porsi · conf:med · per100: gula 2.5g, lemak jenuh 1.0g, kolesterol 35mg, Mg 18mg"
cn-capcay-kuah,Cap Cay Kuah,,55,4.0,2.5,5.0,1.6,,40,62,0.9,430,200,,0.5,,,,,,,18,100,Olahan,Masakan Nusantara,350,"Cap Cay in Broth · 1 porsi · conf:med · per100: gula 2.0g, lemak jenuh 0.6g, kolesterol 30mg, Mg 16mg"
cn-fuyunghai,Fuyunghai + Saus Asam Manis,,155,8.0,9.5,10.0,0.8,,45,120,1.4,520,140,,0.9,,,,,,,4,100,Olahan,Masakan Nusantara,250,"Fu Yung Hai · 1 porsi · conf:med · per100: gula 5.0g, lemak jenuh 2.5g, kolesterol 130mg, Mg 12mg"
cn-koloke,Koloke / Babi Kuluyuk,,235,11.0,12.0,20.0,0.6,,15,110,0.9,480,190,,1.6,,,,,,,8,100,Olahan,Masakan Nusantara,250,"Sweet & Sour Crispy Pork · 1 porsi · conf:med · per100: gula 10.0g, lemak jenuh 4.0g, kolesterol 42mg, Mg 16mg"
cn-ayam-kuluyuk,Ayam Kuluyuk,,220,12.0,10.0,21.0,0.6,,14,105,0.8,470,190,,0.9,,,,,,,8,100,Olahan,Masakan Nusantara,250,"Sweet & Sour Chicken · 1 porsi · conf:med · per100: gula 11.0g, lemak jenuh 2.6g, kolesterol 40mg, Mg 16mg"
cn-ayam-kungpao,Ayam Kungpao,,190,16.0,11.0,7.0,1.2,,20,150,1.0,620,260,,1.2,,,,,,,5,100,Olahan,Masakan Nusantara,250,"Kung Pao Chicken · 1 porsi · conf:high · per100: gula 4.0g, lemak jenuh 2.4g, kolesterol 45mg, Mg 32mg"
cn-ayam-lada-hitam,Ayam Lada Hitam,,170,16.0,9.0,6.0,0.8,,15,140,0.9,650,240,,1.1,,,,,,,6,100,Olahan,Masakan Nusantara,250,"Black Pepper Chicken · 1 porsi · conf:med · per100: gula 3.0g, lemak jenuh 2.2g, kolesterol 48mg, Mg 22mg"
cn-sapi-lada-hitam,Sapi Lada Hitam,,165,15.0,9.0,6.0,0.8,,14,150,1.8,680,250,,3.5,,,,,,,6,100,Olahan,Masakan Nusantara,250,"Black Pepper Beef · 1 porsi · conf:med · per100: gula 3.0g, lemak jenuh 3.2g, kolesterol 42mg, Mg 20mg"
cn-ifumie,Ifumie Siram,,185,7.0,8.0,22.0,1.2,,25,90,1.0,560,150,,0.8,,,,,,,6,100,Olahan,Masakan Nusantara,350,"Crispy Noodles w/ Gravy · 1 porsi · conf:med · per100: gula 2.5g, lemak jenuh 2.0g, kolesterol 35mg, Mg 16mg"
cn-bakmi-ayam,Bakmi Ayam (+ pangsit),,155,7.0,5.5,20.0,1.0,,18,85,1.0,520,120,,0.7,,,,,,,2,100,Olahan,Masakan Nusantara,350,"Chicken Noodles · 1 mangkok · conf:high · per100: gula 1.5g, lemak jenuh 1.4g, kolesterol 28mg, Mg 15mg"
cn-bakmi-babi,Bakmi Babi / Pangsit Babi,,170,8.0,7.0,19.0,1.0,,16,92,1.0,550,130,,0.9,,,,,,,2,100,Olahan,Masakan Nusantara,350,"Pork Noodles · 1 mangkok · conf:med · per100: gula 1.5g, lemak jenuh 2.4g, kolesterol 32mg, Mg 15mg"
cn-kwetiau-goreng,Kwetiau Goreng,,175,6.5,7.5,21.0,1.0,,20,80,1.0,590,140,,0.8,,,,,,,4,100,Olahan,Masakan Nusantara,300,"Fried Kwetiau · 1 porsi · conf:high · per100: gula 2.0g, lemak jenuh 1.8g, kolesterol 45mg, Mg 16mg"
cn-kwetiau-siram,Kwetiau Siram Sapi,,130,6.5,5.0,15.0,0.8,,18,85,1.1,560,140,,1.4,,,,,,,4,100,Olahan,Masakan Nusantara,350,"Kwetiau in Beef Gravy · 1 porsi · conf:med · per100: gula 1.5g, lemak jenuh 1.6g, kolesterol 25mg, Mg 15mg"
cn-nasi-goreng-babi,Nasi Goreng Babi,,195,8.0,8.5,22.0,0.8,,22,100,1.1,580,140,,1.0,,,,,,,3,100,Olahan,Masakan Nusantara,300,"Pork Fried Rice · 1 porsi · conf:med · per100: gula 1.5g, lemak jenuh 2.8g, kolesterol 60mg, Mg 16mg"
cn-sapo-tahu,Sapo Tahu Seafood,,95,6.5,5.0,5.0,1.0,,90,95,1.3,520,160,,0.7,,,,,,,6,100,Olahan,Masakan Nusantara,350,"Claypot Tofu Seafood · 1 claypot · conf:med · per100: gula 1.5g, lemak jenuh 0.9g, kolesterol 45mg, Mg 25mg"
cn-mun-tahu,Mun Tahu Babi Cincang,,110,7.5,7.0,4.0,0.8,,95,105,1.5,560,150,,0.9,,,,,,,2,100,Olahan,Masakan Nusantara,300,"Braised Tofu w/ Minced Pork · 1 porsi · conf:med · per100: gula 1.2g, lemak jenuh 1.8g, kolesterol 25mg, Mg 28mg"
cn-ayam-mentega,Ayam Goreng Mentega,,230,15.0,15.0,8.0,0.3,,15,130,0.8,560,190,,1.0,,,,,,,2,100,Olahan,Masakan Nusantara,250,"Butter Chicken (Chinese-style) · 1 porsi · conf:med · per100: gula 5.0g, lemak jenuh 6.0g, kolesterol 65mg, Mg 18mg"
cn-udang-mayones,Udang Mayones,,260,11.0,19.0,11.0,0.4,,45,140,0.6,480,130,,1.0,,,,,,,2,100,Olahan,Masakan Nusantara,200,"Prawn Mayonnaise · 1 porsi · conf:med · per100: gula 4.0g, lemak jenuh 3.5g, kolesterol 110mg, Mg 25mg"
cn-udang-goreng-tepung,Udang Goreng Tepung,,245,12.0,13.0,19.0,0.6,,50,150,0.8,520,140,,1.1,,,,,,,0,100,Olahan,Masakan Nusantara,180,"Battered Fried Prawns · 1 porsi · conf:high · per100: gula 1.0g, lemak jenuh 2.2g, kolesterol 105mg, Mg 28mg"
